,index,Result,FNL,FSP,FSW,SSP,SSW,ACE,DBF,WNR,UFE,BPC,BPW,NPA,NPW,TPW,ST1,ST2,ST3,ST4,ST5
206,80,1,2.0,59,19,41,7,9.0,4.0,25.0,14.0,6.0,6.0,0.0,1.0,53.0,6.0,6.0,,,
207,81,1,2.0,66,26,34,15,0.0,2.0,8.0,26.0,4.0,4.0,5.0,10.0,59.0,6.0,6.0,,,
208,82,0,0.0,50,15,50,8,2.0,5.0,15.0,27.0,1.0,10.0,3.0,4.0,46.0,4.0,0.0,,,
209,83,0,1.0,63,34,37,10,1.0,4.0,23.0,47.0,2.0,2.0,9.0,10.0,66.0,6.0,0.0,1.0,,
210,84,1,2.0,73,57,27,17,0.0,5.0,19.0,30.0,6.0,10.0,14.0,19.0,126.0,7.0,3.0,8.0,,
211,85,0,0.0,42,11,58,1,3.0,1.0,12.0,22.0,1.0,5.0,2.0,3.0,30.0,0.0,1.0,,,
212,86,1,2.0,59,39,41,17,1.0,9.0,5.0,29.0,6.0,13.0,2.0,6.0,103.0,6.0,4.0,6.0,,
213,87,1,2.0,53,40,47,23,3.0,9.0,20.0,55.0,6.0,9.0,6.0,7.0,112.0,3.0,6.0,8.0,,
214,88,1,2.0,66,28,34,8,1.0,1.0,18.0,13.0,5.0,8.0,11.0,14.0,63.0,6.0,7.0,,,
215,89,0,0.0,55,21,45,11,2.0,3.0,2.0,3.0,0.0,0.0,,,42.0,2.0,2.0,,,
216,90,1,2.0,56,23,44,11,6.0,6.0,24.0,33.0,6.0,8.0,4.0,9.0,66.0,6.0,6.0,,,
217,91,0,1.0,53,22,47,12,3.0,3.0,17.0,37.0,3.0,6.0,2.0,2.0,61.0,0.0,6.0,2.0,,
218,92,1,2.0,71,39,29,14,3.0,3.0,25.0,36.0,5.0,10.0,10.0,13.0,92.0,3.0,6.0,7.0,,
219,93,0,0.0,61,26,39,14,5.0,2.0,22.0,36.0,3.0,5.0,8.0,10.0,65.0,4.0,5.0,,,
220,94,0,1.0,69,30,31,14,,1.0,32.0,50.0,6.0,9.0,7.0,9.0,85.0,6.0,3.0,2.0,,
221,95,0,0.0,55,13,45,9,1.0,2.0,17.0,30.0,2.0,8.0,17.0,27.0,50.0,1.0,4.0,,,
222,96,1,2.0,48,20,52,15,10.0,2.0,25.0,21.0,4.0,7.0,4.0,12.0,60.0,6.0,6.0,,,
223,97,0,1.0,68,42,32,22,3.0,2.0,21.0,30.0,1.0,4.0,11.0,16.0,93.0,7.0,4.0,2.0,,
224,98,0,0.0,64,18,36,11,0.0,5.0,15.0,28.0,2.0,3.0,2.0,4.0,45.0,2.0,4.0,,,
225,99,1,2.0,61,23,39,10,4.0,2.0,18.0,23.0,5.0,8.0,3.0,5.0,67.0,6.0,6.0,,,
226,100,1,2.0,60,43,40,18,5.0,6.0,17.0,50.0,4.0,10.0,8.0,9.0,99.0,1.0,7.0,6.0,,
227,101,1,2.0,56,17,44,13,2.0,1.0,17.0,35.0,6.0,9.0,9.0,10.0,65.0,6.0,6.0,,,
228,102,1,2.0,63,21,37,6,4.0,4.0,21.0,16.0,7.0,13.0,6.0,9.0,64.0,6.0,6.0,,,
229,103,1,2.0,44,17,56,15,3.0,4.0,14.0,10.0,6.0,15.0,3.0,5.0,70.0,6.0,7.0,,,
230,104,1,2.0,62,23,38,13,1.0,3.0,12.0,33.0,7.0,9.0,5.0,10.0,72.0,6.0,7.0,,,
231,105,0,0.0,61,16,39,7,0.0,3.0,9.0,32.0,2.0,4.0,7.0,9.0,42.0,1.0,4.0,,,
232,106,0,0.0,65,12,35,4,0.0,0.0,2.0,23.0,0.0,1.0,0.0,3.0,26.0,1.0,0.0,,,
233,107,0,0.0,65,24,35,9,,5.0,11.0,23.0,4.0,6.0,7.0,12.0,60.0,1.0,6.0,,,
234,108,1,2.0,65,36,35,16,5.0,2.0,25.0,19.0,6.0,9.0,13.0,20.0,96.0,5.0,6.0,6.0,,
235,109,1,2.0,64,37,36,16,5.0,7.0,33.0,56.0,7.0,10.0,12.0,17.0,96.0,4.0,7.0,6.0,,
236,110,1,2.0,69,31,31,10,1.0,0.0,24.0,32.0,4.0,9.0,10.0,13.0,68.0,7.0,6.0,,,
237,111,0,0.0,70,8,30,4,,5.0,5.0,18.0,1.0,2.0,3.0,3.0,25.0,1.0,0.0,,,
238,112,0,1.0,66,43,34,13,13.0,4.0,22.0,31.0,2.0,3.0,10.0,15.0,79.0,6.0,3.0,3.0,,
239,113,0,1.0,61,33,39,14,0.0,3.0,11.0,47.0,1.0,2.0,5.0,9.0,68.0,7.0,2.0,0.0,,
240,114,1,2.0,80,26,20,4,1.0,1.0,18.0,14.0,5.0,7.0,8.0,14.0,55.0,6.0,6.0,,,
241,115,0,1.0,64,35,36,10,1.0,4.0,25.0,35.0,5.0,6.0,5.0,13.0,77.0,1.0,6.0,5.0,,
242,116,0,1.0,67,32,33,11,2.0,2.0,23.0,43.0,4.0,8.0,20.0,30.0,69.0,4.0,6.0,0.0,,
243,117,1,2.0,69,27,31,13,1.0,5.0,16.0,28.0,7.0,14.0,2.0,2.0,87.0,3.0,6.0,6.0,,
244,118,1,2.0,73,34,27,11,2.0,1.0,9.0,15.0,4.0,9.0,4.0,7.0,76.0,6.0,6.0,,,
245,119,0,0.0,72,24,28,9,0.0,0.0,20.0,32.0,0.0,2.0,6.0,8.0,55.0,3.0,2.0,,,
246,120,0,1.0,56,34,44,23,1.0,4.0,34.0,35.0,5.0,12.0,12.0,18.0,104.0,7.0,5.0,2.0,,
247,121,1,2.0,64,23,36,10,1.0,1.0,23.0,17.0,5.0,8.0,7.0,10.0,62.0,6.0,6.0,,,
248,122,0,0.0,67,13,33,6,2.0,1.0,9.0,25.0,1.0,3.0,1.0,4.0,32.0,3.0,0.0,,,
249,123,1,2.0,59,33,41,16,1.0,1.0,23.0,15.0,6.0,16.0,19.0,24.0,94.0,6.0,5.0,6.0,,
250,124,0,0.0,45,13,55,5,2.0,2.0,10.0,14.0,3.0,7.0,4.0,5.0,49.0,2.0,4.0,,,
251,125,1,2.0,64,22,36,10,0.0,2.0,21.0,20.0,6.0,9.0,12.0,14.0,63.0,6.0,6.0,,,
252,126,1,2.0,60,21,40,15,2.0,3.0,34.0,30.0,5.0,10.0,8.0,13.0,75.0,7.0,6.0,,,
253,0,0,0.0,62,27,38,11,1.0,3.0,12.0,29.0,1.0,3.0,9.0,20.0,50.0,2.0,2.0,3.0,,
254,1,1,3.0,62,54,38,22,7.0,3.0,26.0,20.0,5.0,8.0,12.0,21.0,120.0,6.0,6.0,7.0,,
255,2,1,3.0,62,53,38,15,4.0,6.0,42.0,55.0,10.0,22.0,14.0,32.0,140.0,6.0,6.0,3.0,0.0,6.0
256,3,1,3.0,72,87,28,19,14.0,2.0,48.0,27.0,4.0,13.0,14.0,30.0,163.0,7.0,6.0,5.0,7.0,
257,4,0,0.0,52,31,48,22,4.0,4.0,21.0,24.0,1.0,1.0,3.0,5.0,72.0,3.0,4.0,4.0,,
258,5,1,3.0,70,58,30,18,4.0,4.0,35.0,36.0,6.0,12.0,8.0,10.0,130.0,6.0,5.0,6.0,6.0,
259,6,0,2.0,63,71,37,38,5.0,5.0,45.0,80.0,5.0,12.0,28.0,41.0,160.0,3.0,6.0,3.0,7.0,5.0
260,7,1,3.0,59,42,41,25,7.0,2.0,41.0,49.0,10.0,14.0,11.0,18.0,136.0,3.0,1.0,6.0,6.0,7.0
261,8,0,0.0,56,27,44,13,0.0,6.0,12.0,28.0,1.0,2.0,11.0,18.0,54.0,1.0,2.0,3.0,,
262,9,0,0.0,63,62,37,29,5.0,4.0,41.0,44.0,1.0,6.0,19.0,27.0,132.0,6.0,6.0,6.0,,
263,10,1,3.0,48,29,52,20,12.0,4.0,33.0,12.0,7.0,11.0,14.0,21.0,91.0,6.0,6.0,6.0,,
264,11,0,2.0,78,85,22,22,2.0,1.0,24.0,30.0,5.0,17.0,12.0,18.0,174.0,6.0,6.0,6.0,4.0,4.0
265,12,0,0.0,66,48,34,13,7.0,5.0,24.0,24.0,1.0,5.0,11.0,14.0,85.0,4.0,2.0,5.0,,
266,13,1,3.0,83,51,17,6,6.0,0.0,27.0,18.0,5.0,14.0,5.0,6.0,100.0,6.0,6.0,6.0,,
267,14,1,3.0,69,84,31,29,11.0,4.0,57.0,42.0,6.0,7.0,8.0,13.0,172.0,6.0,4.0,7.0,4.0,6.0
268,15,1,3.0,50,32,50,23,5.0,0.0,29.0,33.0,6.0,10.0,13.0,17.0,93.0,6.0,6.0,6.0,,
269,16,0,0.0,59,29,41,10,1.0,5.0,20.0,42.0,5.0,8.0,15.0,26.0,76.0,4.0,3.0,4.0,,
270,17,0,2.0,55,53,45,32,5.0,7.0,56.0,41.0,4.0,5.0,19.0,35.0,118.0,4.0,6.0,3.0,6.0,1.0
271,18,1,3.0,70,40,30,14,7.0,2.0,29.0,21.0,7.0,10.0,5.0,7.0,87.0,6.0,6.0,6.0,,
272,19,0,2.0,70,55,30,18,7.0,3.0,29.0,37.0,5.0,14.0,17.0,34.0,132.0,5.0,6.0,4.0,6.0,
273,20,0,0.0,60,39,40,25,0.0,4.0,21.0,35.0,1.0,2.0,8.0,18.0,89.0,3.0,5.0,4.0,,
274,21,0,1.0,48,47,52,32,9.0,5.0,53.0,51.0,6.0,11.0,12.0,20.0,132.0,6.0,6.0,6.0,2.0,
275,22,0,1.0,71,49,29,23,3.0,1.0,35.0,18.0,4.0,6.0,21.0,42.0,112.0,4.0,6.0,1.0,4.0,
276,23,1,3.0,73,55,27,14,16.0,2.0,61.0,36.0,6.0,9.0,32.0,45.0,116.0,6.0,6.0,4.0,6.0,
277,24,0,1.0,65,50,35,20,8.0,3.0,28.0,32.0,1.0,4.0,7.0,10.0,99.0,6.0,4.0,3.0,3.0,
278,25,0,1.0,57,31,43,17,1.0,2.0,24.0,41.0,2.0,7.0,11.0,22.0,83.0,2.0,6.0,1.0,0.0,
279,26,1,3.0,63,33,37,17,1.0,0.0,25.0,8.0,7.0,12.0,11.0,20.0,89.0,6.0,6.0,6.0,,
280,27,1,3.0,67,73,33,32,8.0,3.0,50.0,69.0,9.0,14.0,18.0,27.0,171.0,6.0,6.0,6.0,6.0,6.0
281,28,0,0.0,68,35,32,9,3.0,0.0,24.0,27.0,0.0,0.0,14.0,27.0,58.0,3.0,2.0,1.0,,
282,29,1,3.0,64,41,36,18,16.0,3.0,31.0,16.0,6.0,11.0,3.0,8.0,94.0,6.0,6.0,6.0,,
283,30,1,3.0,53,36,47,23,7.0,2.0,40.0,26.0,6.0,9.0,16.0,24.0,97.0,6.0,7.0,6.0,,
284,31,0,2.0,66,91,34,33,11.0,2.0,72.0,57.0,1.0,5.0,35.0,50.0,174.0,6.0,4.0,7.0,7.0,5.0
285,32,0,0.0,55,22,45,17,1.0,1.0,16.0,30.0,1.0,4.0,12.0,27.0,57.0,1.0,4.0,3.0,,
286,33,1,3.0,67,75,33,27,13.0,4.0,57.0,31.0,4.0,12.0,29.0,41.0,151.0,6.0,6.0,7.0,7.0,
287,34,0,0.0,64,35,36,13,1.0,1.0,17.0,25.0,2.0,3.0,2.0,3.0,75.0,3.0,4.0,5.0,,
288,35,0,1.0,59,40,41,15,6.0,3.0,22.0,24.0,4.0,7.0,10.0,14.0,87.0,6.0,3.0,5.0,,
289,36,0,0.0,61,41,39,25,5.0,1.0,22.0,17.0,1.0,6.0,10.0,18.0,94.0,6.0,5.0,3.0,,
290,37,0,1.0,64,61,36,21,7.0,11.0,56.0,60.0,3.0,6.0,31.0,49.0,125.0,4.0,6.0,6.0,3.0,
291,38,0,2.0,56,67,44,34,21.0,7.0,58.0,53.0,1.0,4.0,21.0,30.0,141.0,6.0,4.0,7.0,4.0,
292,39,1,3.0,69,74,31,24,9.0,3.0,55.0,50.0,4.0,15.0,35.0,56.0,146.0,7.0,6.0,6.0,7.0,
293,40,0,0.0,52,16,48,9,1.0,5.0,9.0,33.0,1.0,3.0,4.0,8.0,49.0,3.0,2.0,0.0,,
294,41,1,3.0,52,32,48,21,12.0,2.0,43.0,24.0,6.0,13.0,6.0,7.0,92.0,6.0,6.0,6.0,,
295,42,1,2.0,64,30,36,12,4.0,5.0,25.0,45.0,6.0,16.0,16.0,36.0,90.0,6.0,5.0,3.0,,
296,43,1,2.0,46,40,54,29,6.0,2.0,39.0,46.0,2.0,3.0,21.0,28.0,101.0,3.0,7.0,4.0,,
297,44,0,0.0,55,37,45,25,4.0,4.0,34.0,39.0,1.0,13.0,15.0,23.0,106.0,3.0,5.0,3.0,,
298,45,0,0.0,60,38,40,14,3.0,0.0,12.0,16.0,1.0,5.0,0.0,6.0,82.0,3.0,4.0,4.0,,
299,46,1,2.0,49,29,51,22,7.0,4.0,32.0,37.0,6.0,11.0,13.0,19.0,92.0,3.0,6.0,6.0,,
300,47,1,3.0,84,74,16,12,2.0,4.0,40.0,26.0,3.0,8.0,19.0,25.0,140.0,4.0,7.0,6.0,6.0,
301,48,1,3.0,64,37,36,11,4.0,5.0,25.0,22.0,7.0,13.0,7.0,12.0,89.0,6.0,6.0,6.0,,
302,49,1,3.0,55,52,45,27,8.0,8.0,53.0,41.0,7.0,10.0,13.0,23.0,122.0,6.0,6.0,6.0,6.0,
303,50,1,3.0,65,70,35,20,11.0,5.0,71.0,52.0,6.0,20.0,26.0,37.0,153.0,4.0,6.0,6.0,6.0,
304,51,0,0.0,73,45,27,10,3.0,3.0,27.0,11.0,1.0,5.0,11.0,18.0,83.0,3.0,4.0,4.0,,
305,52,0,0.0,71,48,29,11,4.0,4.0,35.0,31.0,2.0,10.0,17.0,25.0,94.0,3.0,4.0,6.0,,
306,53,1,3.0,56,32,44,23,4.0,2.0,26.0,26.0,7.0,13.0,6.0,9.0,97.0,6.0,6.0,7.0,,
307,54,1,3.0,65,48,35,13,6.0,4.0,27.0,41.0,5.0,9.0,12.0,15.0,101.0,7.0,6.0,6.0,,
308,55,0,1.0,61,59,39,25,8.0,6.0,35.0,44.0,3.0,5.0,21.0,35.0,120.0,6.0,6.0,5.0,2.0,
309,56,0,0.0,63,33,37,12,4.0,,18.0,27.0,1.0,1.0,5.0,8.0,57.0,4.0,4.0,1.0,,
310,57,0,0.0,63,38,37,17,6.0,3.0,36.0,34.0,1.0,11.0,14.0,15.0,91.0,5.0,6.0,1.0,,
311,58,0,0.0,55,51,45,22,14.0,2.0,44.0,50.0,3.0,7.0,8.0,11.0,116.0,6.0,4.0,6.0,,
312,59,0,0.0,54,10,46,7,1.0,1.0,6.0,15.0,1.0,5.0,5.0,7.0,38.0,4.0,0.0,,,
313,60,0,0.0,63,33,37,13,5.0,3.0,34.0,49.0,1.0,6.0,19.0,26.0,84.0,1.0,6.0,2.0,,
314,61,0,2.0,56,80,44,37,21.0,8.0,70.0,72.0,6.0,14.0,35.0,48.0,172.0,6.0,4.0,3.0,6.0,1.0
315,62,1,3.0,69,53,31,20,5.0,0.0,26.0,31.0,3.0,11.0,13.0,21.0,114.0,7.0,6.0,7.0,,
316,63,0,0.0,61,19,39,16,2.0,,12.0,14.0,0.0,3.0,3.0,14.0,52.0,2.0,1.0,1.0,,
317,64,1,3.0,72,83,28,23,5.0,8.0,63.0,76.0,5.0,10.0,32.0,47.0,174.0,7.0,7.0,5.0,0.0,6.0
318,65,0,0.0,66,36,34,16,3.0,1.0,31.0,25.0,4.0,8.0,7.0,18.0,88.0,4.0,5.0,4.0,,
319,66,1,3.0,57,41,43,26,4.0,1.0,54.0,41.0,10.0,17.0,16.0,22.0,126.0,6.0,6.0,6.0,6.0,
320,67,0,0.0,64,33,36,10,3.0,4.0,14.0,23.0,0.0,3.0,2.0,6.0,57.0,4.0,2.0,2.0,,
321,68,0,2.0,78,84,22,15,1.0,3.0,49.0,60.0,7.0,10.0,14.0,23.0,162.0,6.0,6.0,0.0,7.0,4.0
322,69,0,0.0,79,42,21,8,1.0,0.0,17.0,11.0,0.0,0.0,14.0,20.0,80.0,1.0,5.0,4.0,,
323,70,1,3.0,65,44,35,19,8.0,1.0,35.0,36.0,4.0,7.0,18.0,22.0,106.0,7.0,6.0,6.0,,
324,71,0,0.0,67,28,33,9,3.0,1.0,28.0,36.0,2.0,3.0,10.0,17.0,63.0,2.0,1.0,3.0,,
325,72,1,3.0,64,56,36,23,17.0,0.0,42.0,36.0,3.0,12.0,17.0,22.0,126.0,3.0,6.0,6.0,6.0,
326,73,0,1.0,67,62,33,21,3.0,2.0,44.0,36.0,0.0,5.0,9.0,13.0,120.0,7.0,1.0,5.0,2.0,
327,74,1,3.0,63,62,37,25,24.0,5.0,75.0,42.0,4.0,12.0,33.0,46.0,144.0,7.0,3.0,7.0,6.0,
328,75,0,0.0,57,30,43,16,4.0,1.0,23.0,34.0,1.0,11.0,11.0,17.0,81.0,2.0,4.0,3.0,,
329,76,1,3.0,57,67,43,41,14.0,2.0,63.0,40.0,6.0,18.0,24.0,39.0,176.0,6.0,7.0,6.0,4.0,6.0
330,77,0,2.0,52,51,48,30,9.0,4.0,64.0,53.0,3.0,6.0,37.0,50.0,132.0,7.0,6.0,3.0,1.0,1.0
331,78,1,3.0,64,65,36,32,8.0,4.0,29.0,33.0,7.0,11.0,10.0,19.0,139.0,6.0,6.0,7.0,6.0,
332,79,0,0.0,64,27,36,8,3.0,0.0,14.0,34.0,2.0,3.0,6.0,13.0,53.0,3.0,3.0,0.0,,
333,80,0,0.0,68,41,32,19,3.0,0.0,19.0,41.0,1.0,1.0,13.0,22.0,80.0,4.0,5.0,2.0,,
334,81,0,1.0,68,51,32,21,1.0,0.0,23.0,28.0,3.0,10.0,17.0,34.0,115.0,4.0,6.0,4.0,3.0,
335,82,1,3.0,66,52,34,18,19.0,6.0,50.0,33.0,3.0,6.0,13.0,25.0,111.0,6.0,7.0,6.0,,
336,83,0,1.0,48,39,52,24,5.0,5.0,24.0,47.0,6.0,10.0,8.0,13.0,110.0,1.0,7.0,1.0,4.0,
337,84,1,3.0,57,34,43,20,9.0,3.0,54.0,35.0,7.0,16.0,15.0,22.0,102.0,7.0,6.0,6.0,,
338,85,0,1.0,57,51,43,21,8.0,3.0,37.0,51.0,2.0,6.0,17.0,33.0,105.0,2.0,6.0,6.0,1.0,
339,86,1,3.0,74,55,26,10,5.0,2.0,27.0,29.0,7.0,10.0,14.0,20.0,113.0,4.0,6.0,6.0,6.0,
340,87,0,2.0,58,77,42,40,10.0,9.0,74.0,89.0,4.0,14.0,29.0,39.0,187.0,6.0,1.0,6.0,7.0,6.0
341,88,1,3.0,69,70,31,24,5.0,4.0,44.0,45.0,6.0,15.0,19.0,32.0,152.0,6.0,6.0,7.0,6.0,
342,89,0,2.0,64,88,36,32,9.0,9.0,52.0,37.0,1.0,7.0,13.0,26.0,160.0,7.0,7.0,3.0,1.0,6.0
343,90,1,3.0,74,62,26,15,11.0,3.0,34.0,30.0,4.0,16.0,10.0,15.0,116.0,7.0,6.0,7.0,,
344,91,0,0.0,59,31,41,9,6.0,4.0,25.0,15.0,2.0,2.0,6.0,9.0,62.0,4.0,6.0,,,
345,92,0,0.0,60,31,40,14,1.0,3.0,15.0,39.0,1.0,6.0,13.0,23.0,71.0,1.0,6.0,1.0,,
346,93,1,3.0,72,38,28,10,1.0,2.0,29.0,26.0,7.0,16.0,17.0,23.0,93.0,6.0,6.0,6.0,,
347,94,0,0.0,82,41,18,8,2.0,1.0,15.0,31.0,1.0,3.0,9.0,15.0,64.0,3.0,4.0,5.0,,
348,95,1,3.0,60,52,40,32,3.0,2.0,36.0,29.0,6.0,10.0,11.0,22.0,133.0,2.0,6.0,2.0,7.0,6.0
349,96,1,3.0,65,61,35,20,7.0,4.0,32.0,36.0,4.0,10.0,13.0,21.0,128.0,7.0,6.0,7.0,,
350,97,1,3.0,67,40,33,17,6.0,0.0,25.0,24.0,5.0,10.0,13.0,15.0,86.0,6.0,6.0,7.0,,
351,98,0,0.0,63,37,37,14,5.0,3.0,21.0,41.0,3.0,5.0,18.0,28.0,80.0,1.0,5.0,4.0,,
352,99,0,0.0,57,49,43,29,16.0,1.0,50.0,38.0,1.0,4.0,13.0,27.0,102.0,5.0,6.0,3.0,,
353,100,0,0.0,51,34,49,18,6.0,2.0,32.0,37.0,1.0,5.0,5.0,8.0,74.0,6.0,0.0,4.0,,
354,101,0,2.0,68,73,32,27,2.0,1.0,61.0,68.0,4.0,12.0,28.0,36.0,154.0,6.0,7.0,2.0,6.0,2.0
355,102,0,0.0,76,46,24,9,3.0,0.0,36.0,38.0,2.0,3.0,11.0,18.0,83.0,4.0,4.0,3.0,,
356,103,1,3.0,58,54,42,31,9.0,2.0,48.0,29.0,5.0,14.0,24.0,32.0,136.0,6.0,6.0,6.0,6.0,
357,104,0,1.0,43,40,57,36,6.0,9.0,36.0,64.0,4.0,9.0,10.0,20.0,119.0,3.0,7.0,4.0,1.0,
358,105,1,3.0,78,52,22,14,5.0,1.0,24.0,40.0,5.0,18.0,15.0,20.0,122.0,7.0,6.0,6.0,,
359,106,1,3.0,64,40,36,21,3.0,3.0,42.0,29.0,4.0,8.0,16.0,24.0,96.0,6.0,6.0,6.0,,
360,107,0,2.0,63,99,37,52,15.0,9.0,85.0,43.0,3.0,23.0,14.0,23.0,224.0,7.0,7.0,4.0,6.0,1.0
361,108,0,0.0,73,31,27,8,1.0,5.0,21.0,24.0,1.0,14.0,9.0,22.0,71.0,0.0,6.0,1.0,,
362,109,1,3.0,68,39,32,13,2.0,0.0,13.0,22.0,7.0,16.0,6.0,13.0,94.0,6.0,6.0,6.0,,
363,110,0,2.0,61,65,39,28,5.0,3.0,32.0,47.0,3.0,6.0,15.0,28.0,131.0,1.0,6.0,6.0,2.0,3.0
364,111,1,3.0,77,45,23,15,1.0,2.0,33.0,24.0,4.0,12.0,18.0,25.0,98.0,6.0,6.0,6.0,,
365,112,0,0.0,71,34,29,7,5.0,2.0,25.0,41.0,0.0,2.0,6.0,12.0,60.0,3.0,1.0,1.0,,
366,113,1,3.0,63,73,37,31,8.0,2.0,42.0,39.0,7.0,20.0,23.0,27.0,169.0,6.0,3.0,6.0,6.0,6.0
367,114,1,3.0,63,81,37,41,13.0,6.0,92.0,55.0,4.0,20.0,31.0,45.0,191.0,6.0,4.0,6.0,7.0,8.0
368,115,1,3.0,69,39,31,16,1.0,0.0,20.0,25.0,5.0,8.0,6.0,8.0,91.0,6.0,6.0,6.0,,
369,116,1,3.0,61,31,39,14,2.0,3.0,25.0,18.0,8.0,15.0,12.0,15.0,82.0,6.0,6.0,6.0,,
370,117,1,3.0,74,71,26,23,2.0,2.0,38.0,42.0,4.0,8.0,13.0,31.0,134.0,4.0,6.0,6.0,6.0,
371,118,1,3.0,75,46,25,10,2.0,0.0,26.0,22.0,6.0,14.0,15.0,23.0,103.0,7.0,6.0,6.0,,
372,119,0,0.0,59,22,41,9,2.0,2.0,9.0,28.0,0.0,1.0,4.0,7.0,46.0,2.0,1.0,1.0,,
373,120,1,3.0,75,40,25,11,5.0,0.0,31.0,17.0,7.0,12.0,13.0,16.0,96.0,6.0,6.0,6.0,,
374,121,1,3.0,64,41,36,22,11.0,0.0,46.0,25.0,5.0,12.0,22.0,27.0,116.0,6.0,7.0,7.0,,
375,122,1,3.0,60,35,40,23,3.0,1.0,24.0,21.0,6.0,17.0,17.0,22.0,107.0,6.0,7.0,6.0,,
376,123,0,2.0,67,76,33,30,5.0,2.0,54.0,75.0,5.0,9.0,32.0,50.0,158.0,4.0,6.0,1.0,7.0,7.0
377,124,1,3.0,70,43,30,11,5.0,2.0,35.0,25.0,8.0,16.0,13.0,17.0,100.0,6.0,6.0,6.0,,
378,0,0,0.0,62,18,38,5,0.0,3.0,8.0,8.0,0.0,0.0,1.0,3.0,31.0,2.0,1.0,,,
379,1,1,2.0,57,23,43,17,3.0,1.0,37.0,21.0,4.0,10.0,16.0,20.0,71.0,6.0,7.0,,,
380,2,1,2.0,76,30,24,5,1.0,0.0,25.0,13.0,4.0,12.0,4.0,5.0,70.0,6.0,6.0,,,
381,3,0,0.0,59,16,41,8,2.0,6.0,21.0,38.0,6.0,15.0,2.0,4.0,66.0,4.0,3.0,,,
382,4,0,0.0,57,18,43,13,,3.0,15.0,27.0,2.0,2.0,3.0,5.0,50.0,2.0,5.0,,,
383,5,1,2.0,74,27,26,11,,0.0,38.0,15.0,6.0,9.0,14.0,21.0,83.0,7.0,6.0,,,
384,6,1,2.0,66,23,34,8,6.0,2.0,29.0,10.0,5.0,6.0,5.0,9.0,56.0,6.0,6.0,,,
385,7,1,2.0,60,24,40,11,1.0,2.0,14.0,20.0,6.0,10.0,4.0,6.0,67.0,6.0,6.0,,,
386,8,0,0.0,79,15,21,3,0.0,1.0,8.0,20.0,0.0,1.0,4.0,7.0,33.0,0.0,2.0,,,
387,9,1,2.0,58,27,42,13,3.0,1.0,31.0,21.0,6.0,15.0,14.0,17.0,77.0,6.0,7.0,,,
388,10,0,1.0,60,41,40,20,9.0,4.0,27.0,22.0,2.0,4.0,5.0,7.0,88.0,6.0,5.0,3.0,,
389,11,1,2.0,78,40,22,7,4.0,1.0,27.0,21.0,3.0,11.0,10.0,15.0,90.0,6.0,7.0,,,
390,12,1,2.0,60,50,40,24,7.0,5.0,38.0,50.0,6.0,11.0,5.0,14.0,125.0,7.0,3.0,9.0,,
391,13,1,2.0,62,40,38,16,6.0,4.0,17.0,42.0,4.0,12.0,3.0,4.0,102.0,7.0,2.0,6.0,,
392,14,1,2.0,54,28,46,14,2.0,3.0,13.0,15.0,4.0,8.0,5.0,5.0,68.0,6.0,6.0,,,
393,15,1,2.0,69,35,31,13,5.0,6.0,29.0,32.0,9.0,16.0,4.0,11.0,94.0,6.0,4.0,6.0,,
394,16,0,0.0,74,21,26,6,2.0,1.0,20.0,16.0,1.0,5.0,9.0,11.0,47.0,1.0,4.0,,,
395,17,0,0.0,69,18,31,7,2.0,1.0,13.0,24.0,0.0,3.0,5.0,11.0,40.0,2.0,1.0,,,
396,18,0,0.0,74,26,26,6,,3.0,19.0,28.0,1.0,3.0,6.0,9.0,53.0,3.0,2.0,,,
397,19,1,2.0,70,28,30,11,,3.0,16.0,19.0,6.0,9.0,7.0,9.0,72.0,7.0,6.0,,,
398,20,0,1.0,41,21,59,17,1.0,7.0,20.0,26.0,4.0,12.0,14.0,28.0,81.0,6.0,4.0,0.0,,
399,21,0,0.0,57,23,43,12,1.0,4.0,18.0,26.0,2.0,6.0,11.0,19.0,51.0,0.0,6.0,,,
400,22,0,0.0,60,18,40,9,0.0,3.0,6.0,27.0,0.0,4.0,3.0,11.0,38.0,2.0,0.0,,,
401,23,1,2.0,62,54,38,25,4.0,12.0,40.0,45.0,7.0,14.0,12.0,19.0,129.0,7.0,4.0,7.0,,
402,24,0,0.0,69,15,31,4,0.0,1.0,6.0,24.0,0.0,2.0,5.0,8.0,33.0,0.0,1.0,,,
403,25,1,2.0,53,32,47,23,4.0,2.0,26.0,29.0,7.0,18.0,11.0,11.0,103.0,7.0,2.0,6.0,,
404,26,1,2.0,64,41,36,16,4.0,4.0,21.0,24.0,3.0,14.0,9.0,12.0,96.0,6.0,2.0,6.0,,
405,27,0,0.0,58,22,42,11,1.0,2.0,13.0,46.0,3.0,7.0,3.0,8.0,59.0,6.0,2.0,,,
406,28,0,1.0,53,24,47,12,4.0,6.0,16.0,37.0,3.0,7.0,7.0,14.0,61.0,0.0,6.0,2.0,,
407,29,0,1.0,60,30,40,18,5.0,2.0,17.0,32.0,2.0,3.0,12.0,19.0,73.0,3.0,6.0,0.0,,
408,30,1,2.0,54,24,46,14,0.0,2.0,32.0,25.0,5.0,14.0,17.0,24.0,71.0,6.0,6.0,,,
409,31,1,2.0,71,31,29,7,,3.0,26.0,37.0,6.0,10.0,13.0,16.0,69.0,6.0,6.0,,,
