,Player1,Player2,Round,Result,FNL.1,FNL.2,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,TPW.2,ST1.2,ST2.2,ST3.2,ST4.2,ST5.2
90,Yen-Hsun Lu,Grigor Dimitrov,2,0,0.0,3.0,70,47,30,19,2.0,2.0,23.0,46.0,2.0,4.0,13.0,18.0,95.0,3.0,3.0,6.0,,,59,49,41,18,15.0,7.0,36.0,35.0,5.0,21.0,5.0,9.0,117.0,6.0,6.0,7.0,,
91,Milos Raonic,Victor Hanescu,2,1,3.0,0.0,64,57,36,23,27.0,2.0,63.0,36.0,2.0,6.0,17.0,25.0,116.0,7.0,6.0,6.0,,,67,55,33,22,6.0,1.0,23.0,23.0,0.0,5.0,7.0,10.0,101.0,6.0,4.0,4.0,,
92,Dusan Lajovic,Kei Nishikori,2,0,0.0,3.0,70,37,30,8,7.0,3.0,17.0,49.0,1.0,5.0,4.0,7.0,68.0,1.0,1.0,6.0,,,64,43,36,15,5.0,3.0,30.0,27.0,6.0,12.0,10.0,14.0,104.0,6.0,6.0,7.0,,
93,Andreas Seppi,Donald Young,2,0,2.0,3.0,57,57,43,33,12.0,10.0,47.0,65.0,6.0,18.0,9.0,15.0,165.0,4.0,6.0,3.0,6.0,5.0,61,71,39,29,6.0,15.0,47.0,78.0,6.0,15.0,31.0,48.0,158.0,6.0,2.0,6.0,4.0,7.0
94,Jack Sock,Gael Monfils,2,0,0.0,3.0,58,48,42,23,5.0,9.0,34.0,37.0,1.0,1.0,16.0,29.0,92.0,6.0,5.0,2.0,,,62,47,38,23,13.0,3.0,39.0,30.0,4.0,11.0,20.0,26.0,117.0,7.0,7.0,6.0,,
95,Rafael Nadal,Thanasi Kokkinakis,2,1,3.0,0.0,74,45,26,11,7.0,1.0,39.0,19.0,5.0,10.0,11.0,14.0,91.0,6.0,6.0,6.0,,,67,33,33,10,4.0,3.0,21.0,24.0,0.0,3.0,8.0,10.0,61.0,2.0,4.0,2.0,,
96,Denis Istomin,Novak Djokovic,3,0,0.0,3.0,65,41,35,10,5.0,1.0,14.0,26.0,1.0,1.0,3.0,9.0,71.0,3.0,3.0,5.0,,,63,38,37,20,6.0,1.0,31.0,23.0,5.0,8.0,16.0,21.0,93.0,6.0,6.0,7.0,,
97,Fabio Fognini,Sam Querrey,3,1,3.0,0.0,60,41,40,26,9.0,3.0,43.0,26.0,4.0,10.0,7.0,11.0,108.0,7.0,6.0,6.0,,,63,43,37,19,10.0,1.0,27.0,41.0,1.0,4.0,11.0,23.0,86.0,5.0,4.0,4.0,,
98,Tommy Robredo,Richard Gasquet,3,1,3.0,1.0,65,70,35,21,16.0,3.0,51.0,38.0,3.0,7.0,18.0,25.0,140.0,2.0,7.0,6.0,7.0,,62,61,38,28,4.0,5.0,62.0,34.0,3.0,9.0,44.0,57.0,137.0,6.0,5.0,4.0,6.0,
99,Jeremy Chardy,David Ferrer,3,0,0.0,3.0,58,44,42,17,8.0,8.0,30.0,51.0,1.0,3.0,17.0,27.0,87.0,2.0,6.0,2.0,,,72,44,28,17,2.0,1.0,22.0,24.0,5.0,11.0,10.0,12.0,111.0,6.0,7.0,6.0,,
100,Florian Mayer,Jerzy Janowicz,3,1,3.0,0.0,68,42,32,15,17.0,0.0,38.0,7.0,5.0,11.0,12.0,13.0,98.0,7.0,6.0,6.0,,,53,34,47,18,3.0,7.0,34.0,44.0,0.0,1.0,11.0,15.0,63.0,5.0,2.0,2.0,,
101,Kevin Anderson,Edouard Roger-Vasselin,3,1,3.0,2.0,67,77,33,26,27.0,6.0,82.0,69.0,3.0,12.0,22.0,30.0,164.0,3.0,4.0,6.0,7.0,7.0,74,94,26,20,8.0,4.0,43.0,34.0,3.0,7.0,17.0,29.0,162.0,6.0,6.0,3.0,6.0,5.0
102,Tomas Berdych,Damir Dzumhur,3,1,3.0,0.0,57,37,43,19,13.0,1.0,32.0,26.0,5.0,9.0,13.0,18.0,93.0,6.0,6.0,6.0,,,44,25,56,17,5.0,6.0,21.0,34.0,0.0,2.0,5.0,9.0,58.0,4.0,2.0,2.0,,
103,Teymuraz Gabashvili,Roger Federer,3,0,0.0,3.0,69,38,31,10,3.0,5.0,27.0,33.0,0.0,5.0,7.0,19.0,66.0,2.0,2.0,3.0,,,62,39,38,16,6.0,1.0,35.0,18.0,5.0,14.0,11.0,20.0,98.0,6.0,6.0,6.0,,
104,Jo-Wilfried Tsonga,Gilles Simon,3,1,3.0,0.0,66,49,34,20,17.0,0.0,40.0,29.0,3.0,6.0,20.0,27.0,94.0,7.0,6.0,6.0,,,53,34,47,22,7.0,3.0,21.0,25.0,0.0,3.0,23.0,28.0,79.0,6.0,4.0,2.0,,
105,Stephane Robert,Martin Klizan,3,1,3.0,0.0,72,54,28,11,7.0,5.0,35.0,23.0,4.0,10.0,14.0,17.0,105.0,6.0,7.0,6.0,,,53,32,47,21,6.0,4.0,36.0,38.0,0.0,3.0,18.0,29.0,75.0,0.0,6.0,4.0,,
106,Andy Murray,Feliciano Lopez,3,1,3.0,0.0,64,50,36,16,6.0,2.0,29.0,30.0,4.0,11.0,11.0,18.0,106.0,7.0,6.0,6.0,,,57,39,43,20,8.0,7.0,31.0,44.0,1.0,1.0,26.0,37.0,84.0,6.0,4.0,2.0,,
107,Benoit Paire,Roberto Bautista Agut,3,0,0.0,3.0,58,30,42,10,13.0,3.0,31.0,59.0,2.0,7.0,11.0,22.0,65.0,2.0,1.0,4.0,,,83,46,17,7,4.0,1.0,21.0,23.0,7.0,20.0,11.0,14.0,96.0,6.0,6.0,6.0,,
108,Milos Raonic,Grigor Dimitrov,3,0,1.0,3.0,59,55,41,30,21.0,5.0,50.0,39.0,1.0,3.0,22.0,53.0,107.0,3.0,6.0,4.0,6.0,,60,55,40,33,15.0,5.0,49.0,13.0,2.0,4.0,12.0,15.0,128.0,6.0,3.0,6.0,7.0,
109,Donald Young,Kei Nishikori,3,0,0.0,3.0,64,23,36,7,1.0,5.0,17.0,32.0,1.0,4.0,15.0,30.0,56.0,5.0,1.0,0.0,,,54,29,46,21,3.0,1.0,30.0,27.0,8.0,12.0,3.0,7.0,93.0,7.0,6.0,6.0,,
110,Rafael Nadal,Gael Monfils,3,1,3.0,0.0,67,38,33,20,2.0,0.0,21.0,18.0,6.0,12.0,9.0,13.0,107.0,6.0,6.0,6.0,,,69,39,31,10,10.0,5.0,33.0,57.0,0.0,6.0,4.0,9.0,70.0,1.0,2.0,3.0,,
111,Fabio Fognini,Novak Djokovic,4,0,0.0,3.0,59,32,41,13,3.0,7.0,20.0,44.0,0.0,0.0,11.0,16.0,55.0,3.0,0.0,2.0,,,72,38,28,12,7.0,2.0,33.0,21.0,6.0,22.0,12.0,16.0,96.0,6.0,6.0,6.0,,
112,Stanislas Wawrinka,Tommy Robredo,4,1,3.0,0.0,56,54,44,24,14.0,3.0,57.0,37.0,2.0,5.0,17.0,25.0,118.0,6.0,7.0,7.0,,,71,53,29,14,1.0,0.0,24.0,22.0,1.0,4.0,13.0,16.0,96.0,3.0,6.0,6.0,,
113,Florian Mayer,David Ferrer,4,0,1.0,3.0,61,52,39,27,4.0,3.0,33.0,49.0,3.0,11.0,29.0,56.0,118.0,7.0,5.0,2.0,1.0,,63,55,37,24,3.0,1.0,64.0,43.0,9.0,19.0,19.0,27.0,153.0,6.0,7.0,6.0,6.0,
114,Tomas Berdych,Kevin Anderson,4,1,3.0,0.0,52,33,48,21,4.0,3.0,38.0,17.0,5.0,17.0,15.0,18.0,92.0,6.0,6.0,6.0,,,72,40,28,9,16.0,1.0,31.0,30.0,0.0,0.0,6.0,19.0,66.0,2.0,2.0,3.0,,
115,Jo-Wilfried Tsonga,Roger Federer,4,0,0.0,3.0,52,32,48,23,8.0,1.0,29.0,28.0,0.0,1.0,11.0,25.0,72.0,3.0,5.0,4.0,,,57,42,43,25,7.0,1.0,43.0,21.0,3.0,7.0,34.0,41.0,100.0,6.0,7.0,6.0,,
116,Andy Murray,Stephane Robert,4,1,3.0,1.0,62,59,38,25,8.0,3.0,48.0,47.0,7.0,14.0,16.0,24.0,137.0,6.0,6.0,6.0,6.0,,51,39,49,22,3.0,8.0,33.0,56.0,1.0,6.0,20.0,31.0,103.0,1.0,2.0,7.0,2.0,
117,Grigor Dimitrov,Roberto Bautista Agut,4,1,3.0,1.0,60,57,40,21,11.0,3.0,38.0,34.0,4.0,5.0,23.0,35.0,114.0,6.0,3.0,6.0,6.0,,64,44,36,22,5.0,1.0,27.0,45.0,1.0,5.0,13.0,23.0,100.0,3.0,6.0,2.0,4.0,
118,Rafael Nadal,Kei Nishikori,4,1,3.0,0.0,71,67,29,14,12.0,1.0,36.0,28.0,5.0,8.0,10.0,19.0,129.0,7.0,7.0,7.0,,,66,51,34,16,2.0,1.0,36.0,51.0,4.0,10.0,20.0,25.0,110.0,6.0,5.0,6.0,,
119,Stanislas Wawrinka,Novak Djokovic,5,1,3.0,2.0,58,71,42,36,17.0,5.0,51.0,60.0,5.0,10.0,20.0,30.0,153.0,2.0,6.0,6.0,3.0,9.0,73,75,27,23,7.0,1.0,45.0,60.0,4.0,7.0,26.0,35.0,161.0,6.0,4.0,2.0,6.0,7.0
120,Tomas Berdych,David Ferrer,5,1,3.0,1.0,52,52,48,27,10.0,4.0,43.0,62.0,5.0,13.0,18.0,28.0,128.0,6.0,6.0,2.0,6.0,,61,46,39,23,2.0,1.0,30.0,46.0,3.0,12.0,12.0,13.0,119.0,1.0,4.0,6.0,4.0,
121,Andy Murray,Roger Federer,5,0,1.0,3.0,61,60,39,28,9.0,1.0,41.0,46.0,1.0,2.0,17.0,27.0,121.0,3.0,4.0,7.0,3.0,,64,61,36,28,10.0,0.0,54.0,42.0,4.0,17.0,49.0,66.0,147.0,6.0,6.0,6.0,6.0,
122,Rafael Nadal,Grigor Dimitrov,5,1,3.0,1.0,73,66,27,22,3.0,7.0,42.0,47.0,4.0,11.0,32.0,36.0,147.0,3.0,7.0,7.0,6.0,,58,64,42,32,16.0,5.0,54.0,61.0,3.0,6.0,28.0,41.0,132.0,6.0,6.0,6.0,2.0,
123,Tomas Berdych,Stanislas Wawrinka,6,0,1.0,3.0,62,71,38,30,21.0,7.0,60.0,49.0,0.0,1.0,23.0,31.0,142.0,3.0,7.0,6.0,6.0,,61,72,39,32,18.0,4.0,57.0,49.0,1.0,4.0,14.0,18.0,143.0,6.0,6.0,7.0,7.0,
124,Rafael Nadal,Roger Federer,6,1,3.0,0.0,65,41,35,22,3.0,1.0,28.0,25.0,4.0,14.0,3.0,10.0,105.0,7.0,6.0,6.0,,,66,45,34,18,8.0,1.0,34.0,50.0,1.0,2.0,23.0,42.0,86.0,6.0,3.0,3.0,,
125,Rafael Nadal,Stanislas Wawrinka,7,0,1.0,3.0,78,50,22,10,1.0,3.0,19.0,32.0,2.0,6.0,5.0,8.0,88.0,3.0,2.0,6.0,3.0,,55,46,45,22,19.0,2.0,53.0,49.0,5.0,15.0,11.0,12.0,116.0,6.0,6.0,3.0,6.0,
0,Serena Williams,Ashleigh Barty,1,1,2.0,0.0,59,20,41,8,6.0,2.0,31.0,17.0,5.0,10.0,10.0,11.0,58.0,6.0,6.0,,,,51,14,49,11,1.0,4.0,5.0,18.0,0.0,0.0,2.0,4.0,31.0,2.0,1.0,,,
1,Vesna Dolonc,Lara Arruabarrena,1,1,2.0,1.0,65,33,35,10,7.0,4.0,7.0,4.0,5.0,10.0,,,78.0,2.0,6.0,6.0,,,62,33,38,10,0.0,3.0,0.0,3.0,4.0,7.0,,,74.0,6.0,2.0,4.0,,
2,Pauline Parmentier,Karolina Pliskova,1,0,0.0,2.0,63,16,37,4,3.0,6.0,3.0,6.0,0.0,2.0,,,37.0,0.0,1.0,,,,60,26,40,7,5.0,0.0,5.0,0.0,5.0,14.0,,,64.0,6.0,6.0,,,
3,Heather Watson,Daniela Hantuchova,1,0,1.0,2.0,61,41,39,19,8.0,3.0,27.0,45.0,4.0,7.0,10.0,13.0,88.0,5.0,6.0,3.0,,,68,43,32,10,6.0,2.0,37.0,44.0,5.0,13.0,5.0,8.0,102.0,7.0,3.0,6.0,,
4,Samantha Stosur,Klara Zakopalova,1,1,2.0,0.0,65,28,35,11,6.0,1.0,19.0,18.0,7.0,10.0,7.0,10.0,74.0,6.0,6.0,,,,50,18,50,7,1.0,5.0,27.0,27.0,4.0,14.0,10.0,15.0,60.0,3.0,4.0,,,
5,Tsvetana Pironkova,Silvia Soler-Espinosa,1,1,2.0,0.0,62,28,38,12,5.0,0.0,30.0,21.0,3.0,5.0,4.0,7.0,68.0,6.0,6.0,,,,50,18,50,14,3.0,2.0,11.0,23.0,0.0,3.0,6.0,6.0,44.0,3.0,2.0,,,
6,Annika Beck,Petra Martic,1,1,2.0,0.0,67,18,33,8,0.0,0.0,8.0,10.0,6.0,11.0,3.0,3.0,52.0,6.0,6.0,,,,50,8,50,4,2.0,6.0,7.0,34.0,0.0,2.0,3.0,7.0,25.0,0.0,0.0,,,
7,Kiki Bertens,Ana Ivanovic,1,0,0.0,2.0,61,15,39,11,2.0,4.0,23.0,35.0,6.0,11.0,10.0,16.0,61.0,4.0,4.0,,,,60,24,40,9,3.0,4.0,14.0,22.0,8.0,9.0,4.0,6.0,73.0,6.0,6.0,,,
8,Roberta Vinci,Jie Zheng,1,0,0.0,2.0,66,23,34,7,3.0,3.0,20.0,28.0,3.0,10.0,7.0,12.0,56.0,4.0,3.0,,,,68,26,32,10,0.0,2.0,26.0,25.0,5.0,7.0,1.0,2.0,67.0,6.0,6.0,,,
9,Patricia Mayr-Achleitner,Madison Keys,1,0,1.0,2.0,71,48,29,14,0.0,1.0,0.0,1.0,5.0,12.0,,,113.0,2.0,7.0,7.0,,,52,45,48,30,11.0,4.0,11.0,4.0,8.0,10.0,,,135.0,6.0,6.0,9.0,,
10,Casey Dellacqua,Vera Zvonareva,1,1,2.0,0.0,66,22,34,13,0.0,0.0,10.0,19.0,4.0,10.0,1.0,2.0,67.0,6.0,6.0,,,,65,22,35,9,2.0,4.0,14.0,43.0,0.0,1.0,5.0,8.0,40.0,2.0,2.0,,,
11,Laura Robson,Kirsten Flipkens,1,0,0.0,2.0,57,14,43,5,2.0,5.0,12.0,32.0,0.0,0.0,6.0,10.0,27.0,3.0,0.0,,,,57,18,43,11,7.0,2.0,14.0,4.0,5.0,6.0,2.0,4.0,54.0,6.0,6.0,,,
12,Eugenie Bouchard,Hao Chen Tang,1,1,2.0,0.0,64,30,36,16,1.0,4.0,1.0,4.0,5.0,11.0,,,82.0,7.0,6.0,,,,57,21,43,12,1.0,6.0,1.0,6.0,2.0,7.0,,,64.0,5.0,1.0,,,
13,Alison Van Uytvanck,Virginie Razzano,1,0,0.0,2.0,54,32,46,15,5.0,4.0,22.0,40.0,2.0,7.0,4.0,6.0,78.0,6.0,6.0,,,,58,39,42,18,7.0,9.0,21.0,41.0,2.0,3.0,8.0,11.0,82.0,7.0,7.0,,,
14,Sachia Vickery,Lauren Davis,1,0,0.0,2.0,51,14,49,12,,3.0,8.0,36.0,3.0,5.0,5.0,11.0,47.0,3.0,3.0,,,,61,23,39,7,,0.0,15.0,23.0,6.0,7.0,7.0,12.0,63.0,6.0,6.0,,,
15,Julia Goerges,Sara Errani,1,1,2.0,0.0,50,20,50,15,4.0,2.0,39.0,36.0,5.0,9.0,7.0,10.0,65.0,6.0,6.0,,,,77,21,23,5,1.0,0.0,6.0,11.0,2.0,5.0,4.0,4.0,49.0,3.0,2.0,,,
16,Na Li,Ana Konjuh,1,1,2.0,0.0,76,24,24,7,3.0,0.0,20.0,18.0,5.0,12.0,13.0,19.0,61.0,6.0,6.0,,,,50,13,50,9,0.0,5.0,7.0,25.0,0.0,1.0,3.0,6.0,36.0,2.0,0.0,,,
17,Belinda Bencic,Kimiko Date-Krumm,1,1,2.0,1.0,53,25,47,15,5.0,5.0,27.0,44.0,10.0,20.0,7.0,14.0,94.0,6.0,4.0,6.0,,,71,31,29,10,1.0,4.0,29.0,47.0,8.0,13.0,9.0,17.0,87.0,4.0,6.0,3.0,,
18,Donna Vekic,Lucie Hradecka,1,0,0.0,2.0,47,17,53,9,1.0,2.0,1.0,2.0,0.0,5.0,,,37.0,3.0,1.0,,,,54,23,46,12,9.0,4.0,9.0,4.0,4.0,7.0,,,58.0,6.0,6.0,,,
19,Julia Glushko,Lucie Safarova,1,0,1.0,2.0,61,35,39,20,6.0,3.0,6.0,3.0,2.0,7.0,,,82.0,5.0,6.0,1.0,,,59,37,41,21,3.0,4.0,3.0,4.0,4.0,8.0,,,92.0,7.0,3.0,6.0,,
20,Ekaterina Makarova,Venus Williams,1,1,2.0,1.0,63,43,37,17,1.0,4.0,21.0,26.0,5.0,12.0,6.0,10.0,97.0,2.0,6.0,6.0,,,55,36,45,18,5.0,8.0,50.0,56.0,5.0,14.0,20.0,24.0,103.0,6.0,4.0,4.0,,
21,Anabel Medina Garrigues,Irina Falconi,1,0,0.0,2.0,86,18,14,3,0.0,1.0,0.0,1.0,2.0,4.0,,,41.0,3.0,1.0,,,,53,18,47,13,3.0,3.0,3.0,3.0,6.0,7.0,,,60.0,6.0,6.0,,,
22,Shahar Peer,Monica Niculescu,1,0,0.0,2.0,80,21,20,2,2.0,1.0,23.0,38.0,3.0,7.0,9.0,23.0,49.0,4.0,1.0,,,,82,26,18,3,1.0,0.0,10.0,13.0,7.0,10.0,10.0,14.0,61.0,6.0,6.0,,,
23,Mirjana Lucic-Baroni,Sabine Lisicki,1,0,0.0,2.0,43,17,57,8,2.0,10.0,11.0,26.0,0.0,7.0,0.0,3.0,51.0,2.0,1.0,,,,52,32,48,15,7.0,6.0,28.0,24.0,4.0,8.0,10.0,14.0,75.0,6.0,6.0,,,
24,Angelique Kerber,Jarmila Gajdosova,1,1,2.0,1.0,65,36,35,13,6.0,5.0,30.0,17.0,4.0,7.0,9.0,12.0,81.0,6.0,0.0,6.0,,,53,29,47,12,2.0,6.0,41.0,31.0,4.0,11.0,22.0,33.0,80.0,3.0,6.0,2.0,,
25,Caroline Garcia,Alla Kudryavtseva,1,0,0.0,2.0,58,22,42,15,3.0,7.0,3.0,7.0,4.0,6.0,,,77.0,2.0,6.0,,,,58,37,42,14,3.0,4.0,3.0,4.0,6.0,10.0,,,93.0,6.0,7.0,,,
26,Dinah Pfizenmaier,Yanina Wickmayer,1,0,0.0,2.0,48,24,52,23,3.0,12.0,3.0,12.0,2.0,15.0,,,87.0,6.0,3.0,,,,58,38,42,15,6.0,8.0,6.0,8.0,4.0,7.0,,,95.0,7.0,6.0,,,
27,Alison Riske,Elena Vesnina,1,1,2.0,0.0,64,24,36,8,4.0,3.0,15.0,16.0,4.0,8.0,5.0,5.0,57.0,6.0,6.0,,,,62,17,38,10,2.0,4.0,9.0,31.0,0.0,0.0,1.0,1.0,34.0,2.0,2.0,,,
28,Flavia Pennetta,Alexandra Cadantu,1,1,2.0,0.0,40,16,60,14,2.0,3.0,28.0,21.0,6.0,17.0,9.0,11.0,66.0,6.0,6.0,,,,58,14,42,9,1.0,8.0,13.0,36.0,1.0,3.0,5.0,8.0,41.0,0.0,2.0,,,
29,Monica Puig,Anna Tatishvili,1,1,2.0,0.0,61,30,39,13,8.0,5.0,25.0,27.0,4.0,5.0,6.0,6.0,68.0,6.0,6.0,,,,68,20,32,5,0.0,4.0,10.0,23.0,1.0,8.0,6.0,7.0,48.0,2.0,4.0,,,
30,Shuai Zhang,Mona Barthel,1,0,0.0,2.0,75,31,25,8,2.0,1.0,17.0,21.0,2.0,6.0,8.0,10.0,68.0,6.0,3.0,,,,69,41,31,10,2.0,3.0,33.0,30.0,3.0,6.0,8.0,9.0,77.0,7.0,6.0,,,
31,Luksika Kumkhum,Petra Kvitova,1,1,2.0,1.0,48,26,52,20,4.0,6.0,28.0,27.0,5.0,16.0,7.0,8.0,92.0,6.0,1.0,6.0,,,60,36,40,15,3.0,8.0,32.0,40.0,4.0,12.0,12.0,16.0,80.0,2.0,6.0,4.0,,
32,Jelena Jankovic,Misaki Doi,1,1,2.0,0.0,60,23,40,11,6.0,6.0,20.0,19.0,5.0,8.0,2.0,4.0,59.0,6.0,6.0,,,,52,12,48,5,1.0,3.0,10.0,26.0,1.0,8.0,0.0,2.0,36.0,1.0,2.0,,,
33,Nadiya Kichenok,Ayumi Morita,1,0,0.0,2.0,63,27,37,11,4.0,7.0,24.0,43.0,2.0,8.0,11.0,14.0,68.0,2.0,6.0,,,,62,30,38,16,6.0,2.0,20.0,24.0,4.0,5.0,1.0,3.0,75.0,6.0,7.0,,,
34,Kurumi Nara,Shuai Peng,1,1,2.0,1.0,74,39,26,10,1.0,6.0,23.0,37.0,8.0,16.0,2.0,4.0,103.0,7.0,4.0,6.0,,,63,40,37,16,3.0,5.0,36.0,54.0,6.0,10.0,4.0,6.0,96.0,5.0,6.0,3.0,,
35,Andrea Petkovic,Magdalena Rybarikova,1,0,0.0,2.0,68,23,32,6,1.0,4.0,15.0,31.0,1.0,3.0,7.0,11.0,48.0,2.0,3.0,,,,67,27,33,8,4.0,1.0,18.0,16.0,5.0,8.0,9.0,16.0,66.0,6.0,6.0,,,
36,Sorana Cirstea,Marina Erakovic,1,0,0.0,2.0,57,25,43,13,5.0,1.0,20.0,32.0,3.0,14.0,6.0,7.0,78.0,4.0,6.0,,,,59,35,41,17,6.0,5.0,28.0,45.0,4.0,6.0,5.0,8.0,83.0,6.0,7.0,,,
37,Zarina Diyas,Katerina Siniakova,1,1,2.0,0.0,74,33,26,6,1.0,4.0,1.0,4.0,5.0,6.0,,,72.0,6.0,6.0,,,,57,22,43,10,2.0,3.0,2.0,3.0,2.0,6.0,,,58.0,2.0,4.0,,,
38,Lesia Tsurenko,Varvara Lepchenko,1,0,1.0,2.0,63,35,37,20,1.0,3.0,9.0,34.0,3.0,9.0,0.0,1.0,92.0,6.0,3.0,4.0,,,64,42,36,15,3.0,5.0,32.0,52.0,3.0,9.0,11.0,13.0,93.0,2.0,6.0,6.0,,
39,Katarzyna Piter,Simona Halep,1,0,0.0,2.0,77,12,23,1,1.0,3.0,5.0,25.0,0.0,2.0,5.0,8.0,24.0,0.0,1.0,,,,61,21,39,9,3.0,2.0,13.0,14.0,5.0,9.0,1.0,2.0,52.0,6.0,6.0,,,
40,Carla Suarez Navarro,Vania King,1,1,2.0,0.0,79,31,21,4,0.0,1.0,17.0,19.0,4.0,5.0,6.0,9.0,61.0,6.0,6.0,,,,69,20,31,5,1.0,2.0,12.0,28.0,1.0,2.0,5.0,14.0,42.0,3.0,2.0,,,
41,Galina Voskoboeva,Irina-Camelia Begu,1,1,2.0,1.0,64,41,36,18,3.0,3.0,3.0,3.0,6.0,11.0,,,109.0,7.0,4.0,7.0,,,62,44,38,15,2.0,7.0,2.0,7.0,5.0,9.0,,,94.0,5.0,6.0,5.0,,
42,Kristina Mladenovic,Stefanie Voegele,1,0,0.0,2.0,48,29,52,19,3.0,8.0,23.0,41.0,1.0,1.0,14.0,22.0,61.0,5.0,5.0,,,,66,32,34,13,7.0,1.0,19.0,20.0,3.0,12.0,5.0,7.0,76.0,7.0,7.0,,,
43,Francesca Schiavone,Dominika Cibulkova,1,0,0.0,2.0,60,21,40,11,5.0,2.0,14.0,27.0,1.0,6.0,5.0,11.0,57.0,3.0,4.0,,,,61,33,39,14,0.0,6.0,21.0,30.0,3.0,7.0,6.0,7.0,72.0,6.0,6.0,,,
44,Alize Cornet,Polona Hercog,1,0,,,75,3,25,1,1.0,,2.0,0.0,,,1.0,1.0,5.0,,,,,,0,0,100,1,0.0,,1.0,1.0,,,0.0,0.0,1.0,,,,,
45,Camila Giorgi,Storm Sanders,1,1,2.0,1.0,51,38,49,23,5.0,13.0,27.0,47.0,4.0,12.0,3.0,7.0,97.0,4.0,6.0,6.0,,,63,35,37,12,2.0,3.0,13.0,34.0,2.0,7.0,4.0,4.0,81.0,6.0,1.0,4.0,,
46,Paula Ormaechea,Karin Knapp,1,0,0.0,2.0,57,26,43,7,2.0,7.0,2.0,7.0,2.0,3.0,,,56.0,4.0,2.0,,,,61,26,39,8,4.0,3.0,4.0,3.0,5.0,10.0,,,69.0,6.0,6.0,,,
47,Bethanie Mattek-Sands,Maria Sharapova,1,0,0.0,2.0,57,27,43,10,4.0,8.0,18.0,30.0,2.0,6.0,7.0,9.0,65.0,3.0,4.0,,,,53,31,47,13,5.0,9.0,29.0,28.0,4.0,8.0,3.0,7.0,77.0,6.0,6.0,,,
48,Agnieszka Radwanska,Yulia Putintseva,1,1,2.0,1.0,59,36,41,15,9.0,1.0,38.0,31.0,7.0,11.0,22.0,35.0,96.0,6.0,5.0,6.0,,,52,29,48,16,0.0,6.0,27.0,33.0,3.0,8.0,11.0,17.0,76.0,0.0,7.0,2.0,,
49,Olga Govortsova,Ying-Ying Duan,1,1,2.0,0.0,68,35,32,8,10.0,4.0,10.0,4.0,4.0,12.0,,,78.0,6.0,7.0,,,,60,24,40,16,1.0,1.0,1.0,1.0,1.0,5.0,,,62.0,0.0,6.0,,,
50,Carina Witthoeft,Mandy Minella,1,0,0.0,2.0,62,16,38,10,1.0,4.0,1.0,4.0,2.0,6.0,,,47.0,1.0,4.0,,,,56,17,44,16,0.0,2.0,0.0,2.0,5.0,8.0,,,62.0,6.0,6.0,,,
51,Teliana Pereira,Anastasia Pavlyuchenkova,1,0,0.0,2.0,68,43,32,14,3.0,7.0,3.0,7.0,2.0,4.0,,,84.0,6.0,4.0,,,,62,32,38,15,3.0,5.0,3.0,5.0,3.0,12.0,,,93.0,7.0,6.0,,,
52,Kaia Kanepi,Garbine Muguruza,1,0,1.0,2.0,64,27,36,12,6.0,3.0,22.0,39.0,3.0,9.0,3.0,4.0,69.0,2.0,6.0,2.0,,,51,28,49,20,5.0,4.0,26.0,31.0,5.0,12.0,1.0,3.0,85.0,6.0,2.0,6.0,,
53,Timea Babos,Anna Schmiedlova,1,0,1.0,2.0,60,46,40,17,8.0,11.0,8.0,11.0,5.0,24.0,,,120.0,6.0,4.0,5.0,,,66,54,34,23,5.0,5.0,5.0,5.0,6.0,14.0,,,126.0,4.0,6.0,7.0,,
54,Christina McHale,Yung-Jan Chan,1,1,2.0,0.0,71,31,29,11,4.0,3.0,4.0,3.0,5.0,9.0,,,77.0,7.0,6.0,,,,68,28,32,10,0.0,6.0,0.0,6.0,3.0,3.0,,,66.0,5.0,4.0,,,
55,Lourdes Dominguez Lino,Caroline Wozniacki,1,0,0.0,2.0,58,10,42,8,,2.0,9.0,30.0,1.0,2.0,5.0,7.0,31.0,0.0,2.0,,,,61,17,39,11,,2.0,15.0,16.0,6.0,12.0,11.0,18.0,58.0,6.0,6.0,,,
56,Sloane Stephens,Yaroslava Shvedova,1,1,2.0,0.0,75,31,25,7,1.0,1.0,22.0,27.0,6.0,12.0,1.0,3.0,82.0,7.0,6.0,,,,58,22,42,10,3.0,13.0,14.0,43.0,4.0,6.0,3.0,6.0,61.0,6.0,3.0,,,
57,Tadeja Majeric,Ajla Tomljanovic,1,0,1.0,2.0,72,54,28,10,4.0,7.0,4.0,7.0,3.0,6.0,,,99.0,6.0,6.0,4.0,,,49,36,51,25,5.0,6.0,5.0,6.0,3.0,6.0,,,97.0,3.0,7.0,6.0,,
58,Olivia Rogowska,Mariana Duque-Marino,1,1,2.0,0.0,63,25,37,10,2.0,6.0,21.0,31.0,6.0,13.0,4.0,5.0,66.0,6.0,6.0,,,,67,18,33,5,4.0,4.0,10.0,32.0,3.0,8.0,2.0,6.0,47.0,3.0,3.0,,,
